,std,beta,sharpe,treynor,alpha,cagr2,cagr5,mf
0,13.11,0.92,0.71,0.1,-1.7,20.73,19.01,Canara Robeco Flexi Cap Fund Direct Plan
1,13.11,0.92,0.71,0.1,-1.7,19.23,17.52,Canara Robeco Flexi Cap Fund Regular Plan
2,14.43,0.99,1.25,0.18,7.45,38.77,24.9,Jm Flexicap Fund Direct Plan
3,14.43,0.99,1.25,0.18,7.45,37.36,23.81,Jm Flexicap Fund Regular Plan
4,13.43,0.89,0.21,0.03,-6.82,9.27,15.2,Uti Flexi Cap Fund Direct Plan
5,13.43,0.89,0.21,0.03,-6.82,8.41,14.37,Uti Flexi Cap Fund Regular Plan
6,13.2,0.92,0.35,0.05,-4.74,15.35,15.91,Axis Bluechip Fund Direct Plan
7,13.2,0.92,0.35,0.05,-4.74,14.21,14.62,Axis Bluechip Fund Regular Plan
8,12.99,0.93,0.62,0.09,-1.41,21.74,19.52,Canara Robeco Blue Chip Equity Fund Direct Plan
9,12.99,0.93,0.62,0.09,-1.41,20.14,17.87,Canara Robeco Blue Chip Equity Fund Regular Plan
10,13.29,0.92,0.93,0.13,2.94,28.19,17.7,Jm Large Cap Fund
11,13.29,0.92,0.93,0.13,2.94,29.17,18.79,Jm Large Cap Fund Direct Plan
12,14.41,0.95,0.27,0.04,-7.36,14.18,14.98,Axis Long Term Equity Fund Direct Plan
13,14.41,0.95,0.27,0.04,-7.36,13.29,14.04,Axis Long Term Equity Fund Regular Plan
14,14.69,0.99,1.08,0.16,4.07,32.02,27.0,Bank Of India Tax Advantage Fund Direct Plan Growth
15,14.69,0.99,1.08,0.16,4.07,30.56,25.62,Bank Of India Tax Advantage Fund Regular Plan Growth
16,13.32,0.94,0.71,0.1,-1.71,22.02,20.7,Canara Robeco Equity Tax Saver Fund Direct Plan
17,13.32,0.94,0.71,0.1,-1.71,20.48,19.3,Canara Robeco Equity Tax Saver Fund Regular Plan
18,14.83,0.83,1.38,0.25,6.53,36.27,27.67,Bank Of India Manufacturing Infrastructure Fund Direct Plan Growth
19,14.83,0.83,1.38,0.25,6.53,34.52,26.03,Bank Of India Manufacturing Infrastructure Fund Growth
20,15.08,0.64,1.47,0.35,3.51,38.88,27.25,Invesco India Infrastructure Fund
21,15.08,0.64,1.47,0.35,3.51,40.9,29.03,Invesco India Infrastructure Fund Direct Plan
22,10.02,1.07,0.66,0.06,-0.64,18.35,16.56,Canara Robeco Equity Hybrid Fund Direct Plan Growth
23,10.02,1.07,0.66,0.06,-0.64,16.97,15.21,Canara Robeco Equity Hybrid Fund Regular Plan Growth
24,9.17,0.96,0.59,0.06,-1.1,13.64,14.02,Sbi Equity Hybrid Fund
25,9.17,0.96,0.59,0.06,-1.1,14.42,14.79,Sbi Equity Hybrid Fund Direct Plan
26,3.37,0.92,-0.33,-0.01,-1.7,6.02,6.9,Lic Mf Debt Hybrid Fund
27,3.37,0.92,-0.33,-0.01,-1.7,7.0,7.87,Lic Mf Debt Hybrid Fund Direct Plan
28,2.11,1.69,-0.48,-0.01,1.13,5.41,7.79,Edelweiss Banking And Psu Debt Fund Regular Plan
29,0.78,2.53,-2.7,-0.01,0.6,6.15,6.89,Mirae Asset Short Term Fund Direct Plan
30,0.78,2.53,-2.7,-0.01,0.6,5.28,6.03,Mirae Asset Short Term Fund Regular Plan
31,1.93,0.38,-0.57,-0.03,-0.81,7.5,8.83,Dsp Government Securities Fund Direct Plan
32,1.93,0.38,-0.57,-0.03,-0.81,6.91,8.24,Dsp Government Securities Fund Regular Plan
33,0.34,1.49,-6.29,-0.01,0.06,5.96,5.48,Bank Of India Ultra Short Duration Fund Direct Plan Growth
34,0.34,1.49,-6.29,-0.01,0.06,5.6,5.2,Bank Of India Ultra Short Duration Fund Regular Growth
35,13.94,1.0,0.59,0.08,-0.06,19.88,16.35,Sbi S P Bse Sensex Etf
